Field,Type,Description
id,snowflake,the id of this channel
type,integer,the [type of channel](#DOCS_RESOURCES_CHANNEL/channel-object-channel-types)
guild_id?,snowflake,the id of the guild
position?,integer,sorting position of the channel
permission_overwrites?,array of [overwrite](#DOCS_RESOURCES_CHANNEL/overwrite-object) objects,explicit permission overwrites for members and roles
name?,string,the name of the channel (2-100 characters)
topic?,?string,the channel topic (0-1024 characters)
nsfw?,boolean,whether the channel is nsfw
last_message_id?,?snowflake,the id of the last message sent in this channel (may not point to an existing or valid message)
bitrate?,integer,the bitrate (in bits) of the voice channel
user_limit?,integer,the user limit of the voice channel
rate_limit_per_user?,integer,"amount of seconds a user has to wait before sending another message (0-21600); bots, as well as users with the permission `manage_messages` or `manage_channel`, are unaffected"
recipients?,array of [user](#DOCS_RESOURCES_USER/user-object) objects,the recipients of the DM
icon?,?string,icon hash
owner_id?,snowflake,id of the DM creator
application_id?,snowflake,application id of the group DM creator if it is bot-created
parent_id?,?snowflake,id of the parent category for a channel
last_pin_timestamp?,ISO8601 timestamp,when the last pinned message was pinned
