Field,Type,Description
-----------------------------,--------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------
id,snowflake,guild id
name,string,guild name (2-100 characters)
icon,?string,[icon hash](#DOCS_REFERENCE/image-formatting)
splash,?string,[splash hash](#DOCS_REFERENCE/image-formatting)
owner?,boolean,whether or not [the user](#DOCS_RESOURCES_USER/get-current-user-guilds) is the owner of the guild
owner_id,snowflake,id of owner
permissions?,integer,total permissions for [the user](#DOCS_RESOURCES_USER/get-current-user-guilds) in the guild (does not include channel overrides)
region,string,[voice region](#DOCS_RESOURCES_VOICE/voice-region) id for the guild
afk_channel_id,?snowflake,id of afk channel
afk_timeout,integer,afk timeout in seconds
embed_enabled?,boolean,whether this guild is embeddable (e.g. widget)
embed_channel_id?,snowflake,"if not null, the channel id that the widget will generate an invite to"
verification_level,integer,[verification level](#DOCS_RESOURCES_GUILD/guild-object-verification-level) required for the guild
default_message_notifications,integer,default [message notifications level](#DOCS_RESOURCES_GUILD/guild-object-default-message-notification-level)
explicit_content_filter,integer,[explicit content filter level](#DOCS_RESOURCES_GUILD/guild-object-explicit-content-filter-level)
roles,array of [role](#DOCS_TOPICS_PERMISSIONS/role-object) objects,roles in the guild
emojis,array of [emoji](#DOCS_RESOURCES_EMOJI/emoji-object) objects,custom guild emojis
features,array of [guild feature](#DOCS_RESOURCES_GUILD/guild-object-guild-features) strings,enabled guild features
mfa_level,integer,required [MFA level](#DOCS_RESOURCES_GUILD/guild-object-mfa-level) for the guild
application_id,?snowflake,application id of the guild creator if it is bot-created
widget_enabled?,boolean,whether or not the server widget is enabled
widget_channel_id?,snowflake,the channel id for the server widget
system_channel_id,?snowflake,the id of the channel to which system messages are sent
joined_at? *,ISO8601 timestamp,when this guild was joined at
large? *,boolean,whether this is considered a large guild
unavailable? *,boolean,whether this guild is unavailable
member_count? *,integer,total number of members in this guild
voice_states? *,array of partial [voice state](#DOCS_RESOURCES_VOICE/voice-state-object) objects,(without the `guild_id` key)
members? *,array of [guild member](#DOCS_RESOURCES_GUILD/guild-member-object) objects,users in the guild
channels? *,array of [channel](#DOCS_RESOURCES_CHANNEL/channel-object) objects,channels in the guild
presences? *,array of partial [presence update](#DOCS_TOPICS_GATEWAY/presence-update) objects,presences of the users in the guild
max_presences?,?integer,"the maximum amount of presences for the guild (the default value, currently 5000, is in effect when null is returned)"
max_members?,integer,the maximum amount of members for the guild
vanity_url_code,?string,the vanity url code for the guild
description,?string,the description for the guild
banner,?string,[banner hash](#DOCS_REFERENCE/image-formatting)
premium_tier,integer,[premium tier](#DOCS_RESOURCES_GUILD/guild-object-premium-tier)
premium_subscription_count?,integer,the total number of users currently boosting this server
preferred_locale,string,"the preferred locale of this guild only set if guild has the ""DISCOVERABLE"" feature, defaults to en-US"
