Field,Type,Description
id,snowflake,id of the message
channel_id,snowflake,id of the channel the message was sent in
guild_id?,snowflake,id of the guild the message was sent in
author*,[user](#DOCS_RESOURCES_USER/user-object) object,"the author of this message (not guaranteed to be a valid user, see below)"
member?**,partial [guild member](#DOCS_RESOURCES_GUILD/guild-member-object) object,member properties for this message's author
content,string,contents of the message
timestamp,ISO8601 timestamp,when this message was sent
edited_timestamp,?ISO8601 timestamp,when this message was edited (or null if never)
tts,boolean,whether this was a TTS message
mention_everyone,boolean,whether this message mentions everyone
mentions***,"array of [user](#DOCS_RESOURCES_USER/user-object) objects, with an additional partial [member](#DOCS_RESOURCES_GUILD/guild-member-object) field",users specifically mentioned in the message
mention_roles,array of [role](#DOCS_TOPICS_PERMISSIONS/role-object) object ids,roles specifically mentioned in this message
mention_channels?****,array of [channel mention](#DOCS_RESOURCES_CHANNEL/channel-mention-object) objects,channels specifically mentioned in this message
attachments,array of [attachment](#DOCS_RESOURCES_CHANNEL/attachment-object) objects,any attached files
embeds,array of [embed](#DOCS_RESOURCES_CHANNEL/embed-object) objects,any embedded content
reactions?,array of [reaction](#DOCS_RESOURCES_CHANNEL/reaction-object) objects,reactions to the message
nonce?,?snowflake,used for validating a message was sent
pinned,boolean,whether this message is pinned
webhook_id?,snowflake,"if the message is generated by a webhook, this is the webhook's id"
type,integer,[type of message](#DOCS_RESOURCES_CHANNEL/message-object-message-types)
activity?,[message activity](#DOCS_RESOURCES_CHANNEL/message-object-message-activity-structure) object,sent with Rich Presence-related chat embeds
application?,[message application](#DOCS_RESOURCES_CHANNEL/message-object-message-application-structure) object,sent with Rich Presence-related chat embeds
message_reference?,[message_reference](#DOCS_RESOURCES_CHANNEL/message-object-message-reference-structure) object,reference data sent with crossposted messages
flags?,integer,"[message flags](#DOCS_RESOURCES_CHANNEL/message-object-message-flags) `OR`d together, describes extra features of the message"
