Field,Type,Description
id,snowflake,the id of the app
name,string,the name of the app
icon,?string,the icon hash of the app
description,string,the description of the app
rpc_origins?,array of strings,"an array of rpc origin urls, if rpc is enabled"
bot_public,boolean,when false only app owner can join the app's bot to guilds
bot_require_code_grant,boolean,when true the app's bot will only join upon completion of the full oauth2 code grant flow
owner,partial [user](#DOCS_RESOURCES_USER/user-object) object,partial user object containing info on the owner of the application
summary,string,"if this application is a game sold on Discord, this field will be the summary field for the store page of its primary sku"
verify_key,string,the base64 encoded key for the GameSDK's [GetTicket](#DOCS_GAME_SDK_APPLICATIONS/get-ticket)
team,?[team](#DOCS_TOPICS_TEAMS/data-models-team-object) object,"if the application belongs to a team, this will be a list of the members of that team"
guild_id?,snowflake,"if this application is a game sold on Discord, this field will be the guild to which it has been linked"
primary_sku_id?,snowflake,"if this application is a game sold on Discord, this field will be the id of the ""Game SKU"" that is created, if exists"
slug?,string,"if this application is a game sold on Discord, this field will be the URL slug that links to the store page"
cover_image?,string,"if this application is a game sold on Discord, this field will be the hash of the image on store embeds"
